Unnamed: 0,advice_tie
1,0
2,1
3,0
4,1
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,1
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,1
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,0
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,0
58,0
59,1
60,1
61,0
62,1
63,1
64,1
65,1
66,0
67,0
68,0
69,1
70,0
71,1
72,0
73,1
74,1
75,1
76,0
77,0
78,0
79,1
80,1
81,1
82,0
83,1
84,1
85,1
86,1
87,0
88,0
89,0
90,1
91,1
92,1
93,0
94,1
95,1
96,0
97,1
98,1
99,0
100,1
101,1
102,1
103,1
104,1
105,1
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,1
127,0
128,1
129,0
130,0
131,0
132,1
133,0
134,0
135,0
136,0
137,1
138,1
139,0
140,1
141,0
142,0
143,1
144,1
145,0
146,0
147,1
148,0
149,1
150,0
151,1
152,0
153,1
154,1
155,0
156,0
157,1
158,1
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,1
169,1
170,1
171,0
172,0
173,0
174,1
175,1
176,1
177,0
178,1
179,1
180,1
181,0
182,1
183,0
184,1
185,1
186,1
187,0
188,0
189,1
190,1
191,1
192,1
193,1
194,1
195,0
196,0
197,1
198,0
199,0
200,1
201,0
202,1
203,0
204,1
205,1
206,1
207,1
208,1
209,1
210,0
211,1
212,1
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,1
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,1
254,1
255,0
256,0
257,1
258,0
259,0
260,0
261,1
262,0
263,0
264,0
265,0
266,1
267,0
268,0
269,0
270,1
271,0
272,0
273,0
274,0
275,1
276,0
277,0
278,0
279,0
280,1
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,1
292,0
293,0
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,0
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,1
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,1
334,0
335,0
336,0
337,1
338,1
339,0
340,1
341,0
342,0
343,1
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,1
358,1
359,1
360,1
361,1
362,1
363,0
364,1
365,1
366,1
367,1
368,1
369,0
370,1
371,1
372,1
373,1
374,0
375,0
376,1
377,1
378,1
379,1
380,1
381,1
382,0
383,1
384,0
385,1
386,0
387,0
388,1
389,1
390,0
391,0
392,1
393,1
394,0
395,0
396,1
397,0
398,1
399,0
400,1
401,1
402,0
403,0
404,0
405,1
406,0
407,1
408,0
409,0
410,1
411,1
412,0
413,1
414,1
415,1
416,1
417,1
418,0
419,0
420,1
421,0
422,1
423,1
424,1
425,0
426,1
427,1
428,1
429,0
430,0
431,0
432,1
433,0
434,1
435,0
436,0
437,1
438,1
439,0
440,1
441,0
