ID,status,gender,office,seniority,age,practice,lawschool,d_in,d_out,degree,btwn,close,eigen
0,1,1,1,1,31,64,1,1,12,3,15,11.809535126235797,0.007518796992481203,0.3392158485744962
1,2,1,1,1,32,62,2,1,19,7,26,53.27776426024519,0.008333333333333333,0.5372023700095323
2,3,1,1,2,13,67,1,1,7,7,14,8.60050540349841,0.006944444444444444,0.2766227002358058
3,4,1,1,1,31,59,2,3,17,17,34,55.10515091936207,0.008771929824561403,0.7293781981290632
4,5,1,1,2,31,59,1,2,6,4,10,9.00952182782848,0.007142857142857143,0.1319111220304469
5,6,1,1,2,29,55,1,1,10,0,10,7.55648269393407,0.006993006993006993,0.17830184847102903
6,7,1,1,2,29,63,2,3,3,4,7,2.8908047870004387,0.006993006993006993,0.13558378507101362
7,8,1,1,1,28,53,1,3,10,2,12,5.583899464362813,0.007246376811594203,0.278774804750055
8,9,1,1,1,25,53,2,1,18,3,21,16.524682327044985,0.007936507936507936,0.49660367692217017
9,10,1,1,1,25,53,2,3,7,7,14,5.943923520859586,0.007633587786259542,0.3406599406823461
10,11,1,1,1,23,50,1,1,19,5,24,25.80308348711171,0.008264462809917356,0.5191917646255512
11,12,1,1,1,24,52,2,2,15,20,35,45.6662766306701,0.008547008547008546,0.8031972598464161
12,13,1,1,1,22,57,1,2,20,16,36,108.05478085089804,0.008928571428571428,0.6889992373369563
13,14,1,1,2,1,56,2,1,12,14,26,25.178839947857014,0.007874015748031496,0.593258892185109
14,15,1,1,3,21,48,2,3,6,10,16,5.4479549315964855,0.007575757575757575,0.3941343636046596
15,16,1,1,1,20,46,2,1,16,27,43,166.0284914020148,0.009433962264150943,0.7965570599726668
16,17,1,1,1,23,50,2,1,29,21,50,124.95311791631286,0.009174311926605505,1.0
17,18,1,1,2,18,45,1,2,6,5,11,8.670851813002471,0.006756756756756757,0.12211754573652894
18,19,1,1,1,19,46,2,1,6,4,10,3.3965437869249113,0.006896551724137931,0.2622189356933186
